Athlete Name,Athlete Position,Athlete Groups,Start Date,Session Type,Segment Name,Duration (mins),Session Load,Distance (m),Metres per Minute (m),High Intensity Running (m),No. of High Intensity Events,Sprint Distance (m),No. of Sprints,Top Speed (m/s),Percentage of Max Speed,Avg Speed (m/s),Accelerations,Decelerations
Sami Lachekar,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,547.0,4460.0,52.0,0.0,0.0,0.0,0.0,5.4,0.0,0.9,42.0,30.0
Ben,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,509.0,4437.0,52.0,23.0,2.0,0.0,0.0,6.7,0.0,0.9,43.0,34.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,603.0,4414.0,52.0,41.0,4.0,0.0,0.0,6.4,0.0,0.9,47.0,37.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,651.0,4632.0,55.0,65.0,7.0,0.0,0.0,6.5,0.0,0.9,93.0,65.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,629.0,5174.0,61.0,100.0,9.0,7.0,1.0,6.9,0.0,1.0,53.0,51.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,414.0,3030.0,50.0,5.0,1.0,0.0,0.0,5.9,85.6,0.8,60.0,25.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,447.0,3108.0,52.0,32.0,4.0,0.0,0.0,6.3,96.8,0.9,81.0,41.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,411.0,3218.0,54.0,19.0,1.0,0.0,0.0,6.8,126.3,0.9,28.0,7.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,470.0,3336.0,56.0,18.0,2.0,0.0,0.0,6.2,96.5,0.9,52.0,24.0
Ben,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,379.0,2962.0,49.0,6.0,1.0,0.0,0.0,5.6,83.6,0.8,37.0,18.0
Téva Lossec,Left Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,757.0,4848.0,57.0,120.0,13.0,29.0,1.0,8.4,0.0,0.9,72.0,59.0
bautista schmidt,Left Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,562.0,4269.0,50.0,70.0,9.0,0.0,0.0,6.1,0.0,0.8,70.0,51.0
bautista schmidt,Left Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,435.0,3328.0,55.0,89.0,5.0,0.0,0.0,6.8,111.3,0.9,74.0,40.0
